"code_muni2","pop_2012","pop_2008","code_muni","IDHM","UF","log_to_brasilia","log_to_capital","metropolitano"
"2803609",27442,24626,280360,0.642,"SE",7.16131939703451,2.76253838638628,0
"2803708",6492,6489,280370,0.583,"SE",7.13863681472478,4.06078777869326,0
"2803807",3494,3775,280380,0.599,"SE",7.19730061448069,4.16744011729265,0
"2803906",12127,12074,280390,0.587,"SE",7.15692518720055,3.63600596450687,0
"2804003",16478,15583,280400,0.618,"SE",7.17058097543505,2.95854948242628,0
"2804102",11038,11230,280410,0.587,"SE",7.15727587708908,3.85883317691403,0
"2804201",13936,13620,280420,0.553,"SE",7.16436455367934,4.71805234304476,0
"2804300",7381,7438,280430,0.626,"SE",7.19171543368314,4.01132520650201,0
"2804409",18493,19466,280440,0.589,"SE",7.22309142821573,4.44241593468667,0
"2804458",8543,8770,280445,0.577,"SE",7.15187723668154,4.23656724261249,0
"2804508",33341,30466,280450,0.587,"SE",7.16649760753621,4.45364937834685,0
"2804607",24941,24529,280460,0.6,"SE",7.17194863886501,3.88011945641514,0
"2804706",6271,6469,280470,0.598,"SE",7.19847523239737,4.52753291626094,0
"2804805",165194,153253,280480,0.664,"SE",7.16277727019412,2.14943391349987,0
"2804904",13379,12756,280490,0.555,"SE",7.2129874436768,4.22872975692054,0
"2805000",3026,2858,280500,0.593,"SE",7.12948182682095,4.31361395198771,0
"2805109",8970,8643,280510,0.592,"SE",7.10685200913779,4.2870289060516,0
"2805208",6084,5761,280520,0.583,"SE",7.12884873027663,4.39135796210277,0
"2805307",8538,8488,280530,0.603,"SE",7.18742282071008,3.41575753299349,0
"2805406",31614,29879,280540,0.529,"SE",7.1653466327499,4.94142811393255,0
"2805505",22287,21721,280550,0.561,"SE",7.0866208708027,4.81567419375584,0
"2805604",27370,27311,280560,0.568,"SE",7.18956765844165,4.72561633906396,0
"2805703",28612,28437,280570,0.661,"SE",7.20873356372626,4.40501047106426,0
"2805802",19414,19567,280580,0.539,"SE",7.1077038956263,4.29606016612269,0
"2805901",9509,9369,280590,0.617,"SE",7.16306394189888,3.17429678147023,0
"2806008",17435,16137,280600,0.613,"SE",7.15330199483113,4.02463714979728,0
"2806107",9541,8799,280610,0.631,"SE",7.17600220660778,3.19129905709797,0
"2806206",19439,19095,280620,0.609,"SE",7.12898500009107,3.8286413964891,0
"2806305",14081,13430,280630,0.545,"SE",7.11886673407251,4.15653658247855,0
"2806404",7175,6799,280640,0.59,"SE",7.22212796668696,4.44945161098867,0
"2806503",3773,3962,280650,0.592,"SE",7.165756191707,3.47630485414896,0
"2806602",11522,12013,280660,0.637,"SE",7.17073473879355,2.61812549357422,0
"2806701",81011,74189,280670,0.662,"SE",7.15057595952189,2.92584614608982,0
"2806800",10424,10443,280680,0.588,"SE",7.13141069926907,4.02159464185744,0
"2806909",3524,2965,280690,0.587,"SE",7.20052190316469,4.20975441373293,0
"2807006",3736,3782,280700,0.567,"SE",7.1622346934062,4.20841701848195,0
"2807105",38988,38232,280710,0.604,"SE",7.11469627495765,4.41847909667619,0
"2807204",8169,7856,280720,0.609,"SE",7.17346011138042,3.53892827735043,0
"2807303",3006,2940,280730,0.604,"SE",7.20570941270452,4.39234818374575,0
"2807402",48776,48733,280740,0.557,"SE",7.08085107569145,4.65890050840906,0
"2807501",12858,13252,280750,0.551,"SE",7.08605208063747,4.58883753136719,0
"2807600",23223,21195,280760,0.579,"SE",7.10066227843441,4.41534051370382,0
"2900108",8659,8851,290010,0.603,"BA",6.59405771932707,5.83732220057933,0
"2900207",17685,18362,290020,0.575,"BA",7.12110704687387,6.16785186441374,0
"2900306",14730,15123,290030,0.582,"BA",7.05986673815442,5.04426347507624,0
"2900355",15914,15354,290035,0.546,"BA",7.10113216645308,5.61589798934568,0
"2900405",15884,15284,290040,0.55,"BA",6.98522544974904,4.83524962830341,0
"2900504",10746,10809,290050,0.584,"BA",6.51628182950071,5.98141421125448,0
"2900603",4536,5361,290060,0.583,"BA",6.78349506160145,5.28228960547084,0
"2900702",143460,137202,290070,0.683,"BA",7.00595219723572,4.53667718954279,0
"2900801",21328,20320,290080,0.608,"BA",6.85669353673169,6.23640872838104,0
"2900900",6130,6742,290090,0.563,"BA",6.79975795666981,5.42908243642759,0
"2901007",34845,34918,290100,0.625,"BA",6.85346803350831,4.77668354406544,0
"2901106",25080,24192,290110,0.666,"BA",6.96366291092043,4.22009576752766,1
"2901155",15962,16723,290115,0.561,"BA",6.74593022634318,5.88554832151643,0
"2901205",19889,25823,290120,0.54,"BA",6.60729862456526,5.82040928658792,0
"2901304",13942,14554,290130,0.555,"BA",6.66446003945707,5.72427114108352,0
"2901353",14209,14359,290135,0.588,"BA",6.97050470063525,5.78551605968287,0
"2901403",13992,15157,290140,0.625,"BA",6.30238085215764,6.5216956604979,0
"2901502",10427,9707,290150,0.589,"BA",6.92760692468474,4.79702944726253,0
"2901601",17526,17268,290160,0.592,"BA",7.08910136015441,5.65787814246523,0
"2901700",11545,12509,290170,0.561,"BA",6.92764613767993,4.48829923425668,0
"2901809",11229,11107,290180,0.598,"BA",6.91848748231116,5.79459771887199,0
"2901908",17877,18570,290190,0.548,"BA",7.0544841998507,5.0309606605575,0
"2901957",7397,7601,290195,0.552,"BA",6.8084983208848,5.1104202954209,0
"2902005",13542,14437,290200,0.581,"BA",6.56584226815546,5.87938707870254,0
"2902054",11642,12108,290205,0.57,"BA",7.02231534868123,4.49925396039654,0
"2902104",52325,54092,290210,0.534,"BA",6.99159998067718,5.24047636685819,0
"2902203",10483,9858,290220,0.588,"BA",7.00079014494933,4.59370470787881,0
"2902252",10307,10986,290225,0.559,"BA",6.81799467177451,5.60884889059746,0
